CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
51,0.13,NA,NA,NA
62,0.242,NA,NA,NA
73,0.054,NA,NA,NA
87,0.102,NA,NA,NA
94,0.044,NA,NA,NA
122,0.162,NA,NA,NA
137,0.058,NA,NA,NA
288,0.032,NA,NA,NA
306,0.068,NA,NA,NA
342,0.068,NA,NA,NA
381,0.242,NA,NA,NA
402,0.256,NA,NA,NA
404,0.096,NA,NA,NA
416,0.13,NA,NA,NA
419,0.134,NA,NA,NA
429,0.128,NA,NA,NA
450,0.276,NA,NA,NA
464,0.57,MTG_NUM <,INV_MONTH7 <,INV_SEG_32 <
481,0.148,NA,NA,NA
501,0.142,NA,NA,NA
541,0.326,INV_SEG_32 <,INV_MONTH7 >,INV_MONTH12 <
577,0.014,NA,NA,NA
621,0.01,NA,NA,NA
683,0.034,NA,NA,NA
690,0.136,NA,NA,NA
696,0.33,INV_SEG_32 >,RR >,MTG_NUM >
710,0.04,NA,NA,NA
728,0.042,NA,NA,NA
762,0.046,NA,NA,NA
776,0.05,NA,NA,NA
813,0.08,NA,NA,NA
867,0.038,NA,NA,NA
885,0.196,NA,NA,NA
889,0.092,NA,NA,NA
896,0.328,INV_SEG_32 <,INV_MONTH7 <,STD_RR <
919,0.112,NA,NA,NA
923,0.032,NA,NA,NA
960,0.364,INV_MONTH2 <,INV_MONTH12 <,INV_MONTH11 >
1009,0.176,NA,NA,NA
1012,0.064,NA,NA,NA
1090,0.04,NA,NA,NA
1097,0.2,NA,NA,NA
1127,0.116,NA,NA,NA
1141,0.212,NA,NA,NA
1149,0.114,NA,NA,NA
1199,0.194,NA,NA,NA
1293,0.21,NA,NA,NA
1346,0.526,INV_SEG1 <,INV_SEG_32 >,DIV <
1358,0.67,INV_MONTH12 <,INV_MONTH10 <,INV_SEG2 <
1363,0.072,NA,NA,NA
1386,0.076,NA,NA,NA
1389,0.668,INV_MONTH10 <,INV_MONTH12 <,MTG_NUM_INVERSE >
1400,0.376,INV_MONTH6 >,INV_MONTH12 <,INV_MONTH9 <
1422,0.658,INV_SEG_32 >,INV_MONTH10 <,INV_MONTH7 >
1472,0.18,NA,NA,NA
1487,0.21,NA,NA,NA
1490,0.162,NA,NA,NA
1539,0.268,NA,NA,NA
1546,0.162,NA,NA,NA
1548,0.372,INV_SEG_32 >,INV_MONTH12 >,INV_MONTH7 >
1605,0.106,NA,NA,NA
1639,0.24,NA,NA,NA
1644,0.248,NA,NA,NA
1737,0.156,NA,NA,NA
1744,0.32,NA,NA,NA
2048,0.062,NA,NA,NA
1745,0.352,INV_SEG_32 <,STD_INV >,INV_STD_SQUARE >
1754,0.114,NA,NA,NA
1819,0.086,NA,NA,NA
