CUST_ID,GENDER,AGE,MAJOR_CHANNEL,IS_MEMBER,IS_HRS_OWNER,YRS_W_CLUB,INV,DIV,RR,STD_INV,STD_DIV,STD_RR,MTG_NUM,AVG_INV,INV_SEG1,INV_SEG2,INV_SEG3,WITHDRAW_TIMES,WITHDRAW_AMOUNT,WITHDRAW_RECHARGE_RATIO,RECHARGE_AMOUNT,RECHARGE_TIMES,SOD_BAL,INV_LOG,INV_INVERSE,INV_SQUARE,INV_SEG_21,INV_SEG_32,INV_STD_SQUARE,MTG_NUM_INVERSE,MTG_NUM_SQUARE
80021936,M,31,MISSING,0,0,0,12750,10008,78.49,3487.77,2622.72,0.640053,4,3187.5,12750,0,0,0,0,0,2820,2,58,9.45329,0.00007843,162562000,0,0,12164600,0.25,16
80022294,M,40,MISSING,0,0,0,25178.5,21175,84.22,2061.06,3860.5,0.740577,26,968.404,9701,8976,6501.5,4,12700,0.687341,18477,52,5.8,10.1337,0.00003972,633957000,0.925265,0.72432,4247970,0.0384615,676
80022367,F,30,EWIN,0,0,0,14565.3,6003.45,41.63,2879.01,1188.37,0.267642,13,1120.41,8842.3,600,5123,0,0,0,7900,13,2.8,9.5864,0.00006866,212148000,0.0678556,8.53833,8288690,0.0769231,169
80024188,M,31,MISSING,0,0,0,440,281.5,63.98,93.3928,70.6921,0.339582,9,48.8889,220,20,200,0,0,0,200,2,1.5,6.08677,0.00227273,193600,0.0909091,10,8722.22,0.111111,81
80026794,M,38,EWIN,0,0,0,1690,293,17.34,132.968,69.0614,0.281442,16,105.625,890,360,440,0,0,0,14750,63,255.5,7.43248,0.00059172,2856100,0.404494,1.22222,17680.6,0.0625,256
80029720,M,18,IOSBS,0,0,0,110,28,25.45,27.3354,10.435,0.149071,5,22,110,0,0,4,460,0.388186,1185,19,8.2,4.70048,0.00909091,12100,0,0,747.222,0.2,25
80029794,M,55,MISSING,0,0,0,385.5,221,57.33,114.628,71.9754,0.261029,3,128.5,295.5,90,0,0,0,0,500,3,1,5.95454,0.00259403,148610,0.304569,0,13139.6,0.333333,9
80030149,M,57,MISSING,0,0,0,5494,672,12.23,558.469,250.44,0.118467,35,156.971,1280,1140,3074,0,0,0,4040,15,382,8.61141,0.00018202,30184000,0.890625,2.69649,311887,0.0285714,1225
80030514,M,35,MISSING,0,0,0,7745.11,7757.7,100.16,654.358,1622.21,0.925649,43,180.119,2549.18,2923.63,2272.3,1,200,0.263505,759,2,5149,8.95482,0.00012911,59986700,1.14689,0.777219,428185,0.0232558,1849
80030991,M,40,MISSING,0,0,0,490,0,0,116.393,0,0,3,163.333,490,0,0,0,0,0,1100,3,20,6.19441,0.00204082,240100,0,0,13547.2,0.333333,9
