CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
80021936,0.14,NA,NA,NA
80022294,0.3,NA,NA,NA
80022367,0.54,MTG_NUM_SQUARE <,INV_SEG_32 >,INV_SEG1 >
80024188,0.14,NA,NA,NA
80026794,0.44,INV_SEG_21 <,INV_SEG_32 <,RR_2 <
80029720,0.22,NA,NA,NA
80029794,0.02,NA,NA,NA
80030149,0.46,INV_27 <,INV_4 <,INV_26 <
80030514,0.2,NA,NA,NA
80030991,0.04,NA,NA,NA
80031618,0.08,NA,NA,NA
80031661,0.34,NA,NA,NA
80031675,0.1,NA,NA,NA
80031765,0.18,NA,NA,NA
80032877,0.06,NA,NA,NA
80032886,0.38,NA,NA,NA
80033803,0.12,NA,NA,NA
80033883,0.28,NA,NA,NA
80034599,0.14,NA,NA,NA
80035159,0.12,NA,NA,NA
80036239,0,NA,NA,NA
80037788,0.38,NA,NA,NA
80038944,0.56,MAJOR_CHANNEL >,RECHARGE_TIMES >,INV_29 >
80039259,0.4,RECHARGE_AMOUNT <,INV_STD_SQUARE >,INV_23 <
80039364,0.38,NA,NA,NA
80041244,0.34,NA,NA,NA
80041462,0.38,NA,NA,NA
80042009,0.1,NA,NA,NA
80042557,0.3,NA,NA,NA
80045768,0.38,NA,NA,NA
80045948,0.04,NA,NA,NA
80046260,0,NA,NA,NA
80047418,0.06,NA,NA,NA
80050544,0.2,NA,NA,NA
80050600,0.06,NA,NA,NA
80050690,0.14,NA,NA,NA
80051079,0.14,NA,NA,NA
80051136,0.22,NA,NA,NA
80051769,0.1,NA,NA,NA
80052264,0.1,NA,NA,NA
80053825,0.28,NA,NA,NA
80054327,0.46,AGE >,INV_SEG3 >,INV_SEG_32 >
80055101,0.32,NA,NA,NA
80055678,0.14,NA,NA,NA
80022409,0.38,NA,NA,NA
80022490,0.3,NA,NA,NA
80023954,0.06,NA,NA,NA
80024487,0.16,NA,NA,NA
80024691,0.14,NA,NA,NA
80026368,0.16,NA,NA,NA
80027205,0.36,NA,NA,NA
80027365,0.42,AGE >,INV_SEG_32 <,INV_11 >
80028712,0.54,INV_SEG_32 >,INV_28 >,MAJOR_CHANNEL <
80029778,0.4,INV_SEG_21 <,AGE >,RR_2 >
80029922,0.18,NA,NA,NA
80032110,0.36,NA,NA,NA
80032220,0.04,NA,NA,NA
80034285,0.06,NA,NA,NA
80034981,0.3,NA,NA,NA
80035836,0.34,NA,NA,NA
80036212,0.5,INV_SEG1 <,INV_SEG_32 >,RECHARGE_TIMES >
80036306,0.18,NA,NA,NA
80036700,0.18,NA,NA,NA
80037152,0.06,NA,NA,NA
80037342,0.42,MAJOR_CHANNEL >,INV_SEG_32 >,MTG_NUM_SQUARE <
80038660,0.02,NA,NA,NA
80038749,0.32,NA,NA,NA
80039190,0.1,NA,NA,NA
80039287,0.2,NA,NA,NA
80039432,0.46,INV_SEG_32 >,MAJOR_CHANNEL >,MTG_NUM <
80040141,0.44,INV_SEG1 <,INV_STD_SQUARE >,INV_18 <
80040620,0.02,NA,NA,NA
80041448,0.2,NA,NA,NA
80041795,0.4,NA,NA,NA
80044221,0.46,INV_SEG_32 >,MAJOR_CHANNEL >,AVG_INV >
80045559,0.32,NA,NA,NA
80045752,0.08,NA,NA,NA
80045890,0.18,NA,NA,NA
80046968,0.24,NA,NA,NA
