CUST_ID,CUST_CODE,AGE,GENDER,YRS_W_CLUB,IS_MEMBER,IS_HRS_OWNER,MAJOR_CHANNEL,MTG_NUM,INV,INV_SEG1,INV_SEG2,INV_SEG3,DIV,RR,END_BAL,RECHARGE_TIMES,WITHDRAW_AMOUNT
51,95,50,M,28,0,0,AOSBS,81,46842,11778,16344,18720,46599.53,1.004216942,8.5,140,15900
62,84,25,M,5,0,0,MULTI,79,57502,12842,14510,30150,47666.03,0.838510487,4.3,199,18872.5
73,75,52,M,8,0,0,TEL,82,139353,50025,50213,39115,105270.17,0.762263245,5.5,206,45100
87,75,59,M,33,0,0,EWIN,83,107062,39510,29332,38220,63309.85,0.594887542,1620.5,42,1000
94,95,52,M,23,0,0,EWIN,83,65480,19180,22570,23730,36943,0.573350641,488.2,198,22000
122,95,58,F,29,0,0,TEL,73,15020,4380,4730,5910,5024.8,0.334540613,388,0,0
137,95,65,M,34,0,0,TEL,74,25240,7950,9980,7310,26653.31,1.062190174,402.1,49,10300
288,95,64,M,24,0,0,ESC,81,44433,14315,14993,15125,32479.7,0.737091801,3.9,51,3800
306,95,87,M,30,0,0,ESC,81,67520,18700,24960,23860,47040,0.700977488,998.2,93,25000
342,75,80,M,13,0,0,ESC,83,302578,104488,86120,111970,219784.54,0.731089306,1784.8,134,25800
381,84,34,M,13,0,0,EWIN,83,23310,11120,7910,4280,5388.96,0.239766624,402.6,60,19000
402,95,61,M,19,0,0,TEL,66,34245,10790,11775,11680,14613.95,0.44174186,19.5,0,0
404,95,53,F,7,0,0,TEL,71,31548,10198,9215,12135,22872.73,0.729451312,229.2,65,8520
416,84,42,M,9,0,0,EWIN,55,29400,11690,11170,6540,24990,0.854081633,319.8,150,136927
419,95,68,M,21,0,0,TEL,81,36130,9680,11610,14840,41538.09,1.154389427,441,5,10000
429,75,76,M,32,0,0,TEL,77,267605,71070,138385,58150,230841.52,0.870691953,2784.2,64,60000
450,75,60,M,23,0,0,AOSBS,68,19558,4778,8569,6211,11947.45,0.622475202,993.9,212,14300
464,85,34,M,12,0,0,IOSBS,36,12500,4290,5830,2380,9072.5,0.7338,28.4,40,6000
481,75,52,F,6,0,0,EWIN,80,103544,35064,26940,41540,85867,0.831887893,9385.5,33,1400
501,95,61,M,34,0,0,IOSBS,76,53584,12900,22094,18590,47022.9,0.884086668,2153.4,22,4000
541,75,47,M,23,0,0,MULTI,38,69030,11221,40675,17134,43750.11,0.635336665,8,72,29500
577,95,63,M,29,0,0,TEL,82,30090,9980,10710,9400,27986.04,0.93340113,223.2,27,8000
621,95,65,M,32,0,0,TEL,82,51690,16680,18290,16720,34986.91,0.67860147,588.9,70,11500
683,95,67,M,9,0,0,ESC,80,21788,7320,8118,6350,12329,0.575500275,49,76,7500
690,75,44,M,17,0,0,OTHERS,55,55348,29578,24300,1470,37416.5,0.677829371,8.2,151,38817
696,75,44,F,20,0,0,MULTI,81,63943,15508,19445,28990,396323.18,6.200415683,0.5,280,405900
710,75,76,M,33,0,0,TEL,83,85510,27210,28520,29780,73857.38,0.880965735,6373.8,49,11000
728,84,32,M,8,0,0,EWIN,82,51920,21310,19080,11530,42242.6,0.817268875,662.1,43,1000
762,95,72,M,18,0,0,OTHERS,82,55080,15205,21515,18360,38194.16,0.695972404,828.5,0,0
776,95,46,M,24,0,0,TEL,83,19460,6200,6260,7000,12521.71,0.646542138,38.8,0,0
813,95,59,M,13,0,0,TEL,80,38440,13215,16705,8520,21791.04,0.580255983,223,64,6000
867,55,41,M,18,0,0,AOSBS,82,270900,89970,91150,89780,175954.73,0.656422038,1007.9,401,184156
885,95,57,M,12,0,0,TEL,70,20390,6980,6430,6980,13296.85,0.654087788,614,64,3650
889,84,42,M,18,0,0,AOSBS,56,38492,21242,14180,3070,24554.4,0.638948353,2.2,31,3000
896,85,20,M,2,0,0,IOSBS,63,24300,4900,12310,7090,19629.18,0.811488889,163.4,101,14624
919,95,52,F,13,0,0,AOSBS,72,31795,10325,9170,12300,20179.3,0.639701211,1010.1,0,0
923,95,76,M,31,0,0,TEL,83,46882,16011,16653,14218,32670.03,0.706561793,106.5,96,7700
960,84,43,M,20,0,0,TEL,36,37380,13515,8530,15335,26694.3,0.723228999,0.4,28,10000
1009,95,53,M,27,0,0,TEL,56,36900,11740,10340,14820,35243,0.969728997,5718.1,0,0
1012,95,65,M,15,0,0,ESC,80,23750,7650,8310,7790,39107.57,1.657918737,2864,41,23000
1090,95,62,F,3,0,0,TEL,83,51030,14070,18200,18760,46046.3,0.907040956,1383.5,0,0
1097,30,33,M,8,0,0,AOSBS,70,34437,9582,14685,10170,16352.6,0.478049772,225.8,407,17997.4
1127,75,59,M,11,0,0,TEL,67,86075,28285,36530,21260,64290.05,0.750566947,867.5,62,25500
1141,84,40,M,10,0,0,EWIN,58,24714,14934,8090,1690,20819.17,0.843617787,1096.8,76,10819
1149,75,58,M,6,0,0,TEL,82,81450,25190,19910,36350,76698.02,0.942271578,27,51,26300
1199,84,42,M,15,0,0,IOSBS,68,45070,12480,14640,17950,26339.88,0.588637231,136.9,47,12700
1293,70,25,M,7,0,0,EWIN,80,27977,10182,7460,10335,19626.94,0.707328877,294.3,0,0
1346,84,40,M,19,0,0,AOSBS,48,13945,1590,4440,7915,5474.48,0.394010757,46,0,0
1358,90,58,M,4,0,0,TEL,42,10420,1150,1960,7310,8697.5,0.834692898,39.5,0,0
1363,95,76,M,34,0,0,ESC,83,24420,8750,8110,7560,11163.54,0.460832924,14.8,97,3500
1386,95,59,M,12,0,0,AOSBS,80,42420,10870,16720,14830,36821.4,0.872498821,120.5,18,5845
1389,86,32,M,8,0,0,TEL,13,11948,6400,2200,3348,2125.29,0.177878306,61,0,0
1400,95,62,M,1,0,0,TEL,45,22970,4730,11270,6970,11404.5,0.506073139,10,50,11000
1422,95,51,M,8,0,0,TEL,43,16010,1950,3810,10250,8814,0.553029357,23.5,28,800
1472,95,54,M,29,0,0,AOSBS,77,117580,31640,34050,51890,91779.1,0.784819697,7.1,264,70390
1487,70,46,M,20,0,0,ESC,75,19645,4720,7965,6960,12185.36,0.620277933,120,404,13286.9
1490,35,43,M,17,0,0,EWIN,51,452887,265082,144895,42910,330003.5,0.728666312,1,26,126000
1539,95,46,M,20,0,0,AOSBS,48,11300,5310,3380,2610,7282,0.64619469,434.3,14,4000
1546,95,62,M,26,0,0,TEL,75,108600,36670,31440,40490,89909,0.832771639,3448.8,0,0
1548,25,38,M,10,0,0,TEL,47,242460,41820,73940,126700,305984.5,1.272929555,5917.7,170,367624
1605,95,68,M,34,0,0,TEL,80,54600,21900,12140,20560,43916.53,0.807079304,90,0,0
1639,95,64,F,8,0,0,AOSBS,72,18070,2730,7640,7700,22806.38,1.314852241,513.7,24,9800
1644,84,43,M,10,0,0,TEL,62,74922,18870,18030,38022,45226.46,0.605731027,418,50,3200
1737,55,44,M,24,0,0,TEL,51,124825,49360,44295,31170,92659.98,0.743126137,7.7,80,31630
1744,95,52,M,24,0,0,AOSBS,68,44595,6785,15790,22020,79689.41,1.788528086,631.4,18,45000
1745,95,66,M,28,0,0,TEL,82,67190,28070,35060,4060,63325.55,0.948296622,6342.1,0,0
1754,90,56,M,4,0,0,EWIN,67,24800,11010,7450,6340,15940.85,0.648018145,146.7,0,0
1819,35,56,M,31,0,0,AOSBS,79,216683,78320,81580,56783,193236.43,0.9020386,3.5,446,550240
1841,95,56,M,19,0,0,TEL,80,20884,6680,7200,7004,18489.97,0.8887172,213.5,23,3500
1940,75,60,M,5,0,0,TEL,77,50880,15760,10800,24320,52696.28,1.036876572,1467,24,10000
1995,95,50,M,27,0,0,TEL,66,82578,45678,16790,20110,60033.5,0.72856572,951.1,40,18100
2043,95,65,M,14,0,0,TEL,83,40680,10830,14130,15720,19823,0.492453294,976,91,1400
2048,95,59,M,8,0,0,TEL,67,45179,17600,15950,11629,29255.25,0.654402488,6.8,55,4800
2053,84,38,M,15,0,0,TEL,72,27600,8790,11860,6950,33203.65,1.204117754,8.1,33,20000
2089,95,54,M,24,0,0,OTHERS,83,251026,133961,72077,44988,176489.47,0.708334874,2213.3,92,85200
2146,55,49,M,10,0,0,TEL,24,128010,63510,34020,30480,79629,0.622052965,7855.8,157,274271
2242,95,63,M,29,0,0,TEL,46,41550,8909,17035,15606,29006,0.700024067,17.7,0,0
2290,75,58,M,32,0,0,IOSBS,58,110712,22025,60152,28535,87711.21,0.794744111,1688,120,61593
2293,95,57,M,10,0,0,AOSBS,61,26370,9360,5110,11900,22042.5,0.83930603,380.8,27,6300
2312,84,27,M,8,0,0,EWIN,81,36290,10250,11680,14360,23765.15,0.657347754,201.7,94,18320
2314,84,43,M,20,0,0,EWIN,81,50358,17490,18178,14690,44777.5,0.890573494,325.4,191,43407
2370,55,38,M,12,0,0,AOSBS,38,52620,12380,21040,19200,38767.5,0.74054542,0.9,282,248513
2379,95,64,M,38,0,0,AOSBS,83,28040,7050,10410,10580,20329.53,0.73643117,349.6,44,5400
2426,95,59,M,15,0,0,EWIN,83,54731,20173,16180,18378,36412.9,0.666037529,54.6,82,2000
2481,84,26,M,5,0,0,AOSBS,40,11980,2970,6240,2770,9465.28,0.79009015,9.1,45,7400
2507,84,35,F,9,0,0,AOSBS,43,11012,3332,4480,3200,4773.5,0.433481656,9.2,25,500
2614,95,51,M,14,0,0,ESC,78,20370,8850,6280,5240,7274.42,0.367423662,3.1,193,9050
2620,84,41,M,19,0,0,MULTI,76,119510,32940,61170,25400,73009.38,0.613583633,681.3,120,36000
2627,95,53,M,19,0,0,TEL,68,17115,5265,6700,5150,12155,0.716038563,668,0,0
2660,95,46,M,19,0,0,TEL,81,24780,8820,8310,7650,10685.73,0.434755044,100,67,1800
2702,30,57,M,32,0,0,TEL,67,14160,5650,3560,4950,12474.73,0.881689972,0.9,183,7011.5
2714,84,39,M,16,0,0,OTHERS,64,63137,20636,24484,18017,44617.29,0.710007127,11,146,22860
2727,84,37,M,17,0,0,EWIN,78,227760,43160,74650,109950,140736.75,0.626439015,888.4,86,7333.3
2780,75,52,M,25,0,0,IOSBS,80,90156,15140,25590,49426,68444.56,0.759844714,3387,52,32500
2790,84,42,M,21,0,0,TEL,79,99701,12488,49240,37973,120825.9,1.216295724,209.6,80,156000
2822,84,43,F,9,0,0,EWIN,55,20880,8970,5600,6310,13989,0.676197318,9,41,29200
2908,84,39,M,14,0,0,AOSBS,73,14490,4340,5020,5130,9670.36,0.671522429,105.4,79,8340
3100,75,66,F,28,0,0,ESC,83,87960,24880,31810,31270,61219.72,0.701224648,1208.1,181,15300
3145,50,45,M,19,0,0,IOSBS,82,219945,68111,80577,71257,159059.33,0.729598218,5200.3,75,46000
3156,95,59,M,7,0,0,TEL,61,18890,3700,9270,5920,10258.51,0.555770778,167.9,72,4100
3172,75,60,M,23,0,0,TEL,56,148032,47930,44000,56102,38282,0.266982815,7.5,0,0
3198,20,41,F,16,0,0,EWIN,55,1369345,10660,1013449,345236,1193978.5,0.877265043,7.1,136,627530
3204,60,63,M,10,0,0,TEL,33,10770,10,4160,6610,7602.5,0.723537604,7.7,39,1600
3234,95,71,M,3,0,0,TEL,68,54508,27352,19222,7934,37353,0.685825934,1652.5,0,0
3239,30,38,M,18,0,0,AOSBS,72,77970,35180,23430,19360,51151.97,0.660150955,6.1,166,20980
3280,75,58,M,31,0,0,TEL,79,313212,52840,135700,124672,191217.1,0.612866365,4,133,45300
3283,32,76,M,27,1,0,TEL,72,1847250,653250,639600,554400,1550276.25,0.839776018,0,0,0
3375,75,60,M,23,0,0,AOSBS,83,92594,34800,35054,22740,59412.27,0.64381893,109.2,210,23850
3410,95,44,M,10,0,0,AOSBS,82,46685,19254,18114,9317,23229.84,0.510566563,0.7,153,15402.4
3491,75,59,M,6,0,0,TEL,83,124200,42300,41650,40250,106630,0.858534622,20334.5,13,12000
3562,95,67,M,14,0,0,ESC,79,34260,17360,8650,8250,32466.74,0.952327496,245.6,230,19800
3624,75,57,M,29,0,0,AOSBS,73,46242,14700,20992,10550,35814.01,0.777085982,2.1,116,24347.5
3633,75,53,F,9,0,0,IOSBS,83,104920,37790,36460,30670,85654.5,0.824385246,2767.5,225,101901.7
3648,95,72,M,13,0,0,ESC,78,13280,4440,4600,4240,10035,0.758659639,241,74,3500
3707,85,39,F,4,0,0,EWIN,81,126010,42870,38070,45070,80922.26,0.644649314,373.9,99,45500
3717,95,56,F,15,0,0,ESC,83,40012,11862,14140,14010,32241.44,0.811142657,16,58,9700
3725,62,67,M,23,1,0,OTHERS,73,96738,29628,37694,29416,48234.88,0.503678803,6.5,70,33092
3732,95,59,M,27,0,0,EWIN,83,57460,25270,17420,14770,35263.5,0.623103028,500,72,8791
3811,70,39,M,12,0,0,EWIN,81,24882,10452,9280,5150,17312.91,0.70886223,13.5,342,34080
3845,75,54,M,33,0,0,TEL,83,319678,167383,54779,97516,222962.71,0.700525873,14.7,163,76190
3869,95,48,M,17,0,0,AOSBS,83,39000,13520,12880,12600,24025.78,0.621943077,405.5,0,0
3981,55,39,M,16,0,0,IOSBS,71,61650,13620,15950,32080,50283.5,0.816277372,0.3,148,96461
3992,95,69,M,38,0,0,AOSBS,78,16720,5150,7580,3990,8213,0.493002392,420.9,7,4000
4011,75,55,M,7,0,0,AOSBS,83,139622,49952,53590,36080,79463.96,0.576105198,9.5,0,0
4018,35,43,M,23,0,0,AOSBS,82,403190,154600,168653,79937,211449.96,0.525422158,0.9,1174,519278
4021,84,40,M,10,0,0,AOSBS,69,46128,16180,12337,17611,29675.52,0.649725113,892.7,171,74060
4054,95,49,M,29,0,0,AOSBS,73,20425,5545,6600,8280,12259.19,0.603632313,209.4,23,34500
4058,95,49,F,12,0,0,TEL,17,38178,35918,200,2060,20651.02,0.540914139,6,10,55000
4069,95,48,M,18,0,0,EWIN,79,25045,11989,7933,5123,0,0,2009.7,0,0
4211,70,53,M,3,0,0,ESC,75,99010,22790,41860,34360,58758.5,0.595581254,1,132,16500
4217,84,41,M,20,0,0,AOSBS,72,213336,68588,81793,62955,119217.31,0.561870992,4.5,126,37600
4227,75,49,M,5,0,0,TEL,83,74167,18529,28704,26934,48631.4,0.660663098,1022,105,4790
4256,75,59,F,26,0,0,AOSBS,79,200165,55270,73323,71572,367283.1,1.84153953,173572.7,0,0
4304,84,42,M,10,0,0,MULTI,78,25560,7190,9700,8670,17443.5,0.688712833,123.5,0,0
4335,84,31,M,8,0,0,AOSBS,12,14990,10,6540,8450,8519,0.568312208,8,17,1000
4411,95,58,M,30,0,0,ESC,79,24950,6550,7180,11220,12410.62,0.504634068,20.6,229,1900
4417,85,38,M,3,0,0,AOSBS,73,12490,3550,4330,4610,6523.75,0.530324259,720,41,2000
4450,95,48,M,16,0,0,TEL,63,45510,9710,11400,24400,32365.2,0.720318611,19.4,51,7000
4536,95,64,M,31,0,0,OTHERS,82,32960,9450,10850,12660,21969,0.674120146,525.2,33,2500
4543,95,65,F,26,0,0,OTHERS,80,27620,9290,8720,9610,24109,0.874692252,313.1,0,0
4556,95,48,M,9,0,0,ESC,77,20850,5260,7870,7720,14639.92,0.707909832,1.6,274,23150
4598,75,63,M,13,0,0,IOSBS,83,190336,75882,57430,57024,117848.67,0.620495702,404.5,256,23500
4670,54,22,M,3,0,0,IOSBS,27,48490,5520,10,42970,44188.5,0.911290988,26.8,116,54842
4682,85,26,M,2,0,0,AOSBS,61,29488,17790,6152,5546,24959.92,0.851190993,0.4,137,10329
4753,95,54,M,8,0,0,AOSBS,83,108850,44690,37040,27120,81778.07,0.75331254,159.2,67,6000
4754,95,53,M,20,0,0,AOSBS,81,50808,13352,16040,21416,19616.25,0.392384073,575.7,0,0
4813,75,83,M,31,0,0,TEL,79,116629,51499,34727,30403,46204.86,0.401571307,1361.1,85,3000
4889,95,87,M,27,0,0,TEL,49,14170,1110,5860,7200,10607.14,0.755620325,830.5,0,0
5003,95,61,M,11,0,0,ESC,65,50560,15650,15660,19250,39818.68,0.791706487,3.5,31,25880
5018,84,43,M,22,0,0,EWIN,57,71289,41299,17128,12862,39724.31,0.565110606,52.1,133,13143
5042,95,51,M,12,0,0,IOSBS,34,23190,17650,3110,2430,21049,0.907675722,471.9,0,0
5048,75,44,M,24,0,0,IOSBS,55,23909,1650,9780,12479,8438,0.363586934,382.2,27,1500
