CUST_ID,AGE,GENDER,YRS_W_CLUB,IS_MEMBER,IS_HRS_OWNER,MAJOR_CHANNEL,MTG_NUM,INV,INV_SEG1,INV_SEG2,INV_SEG3,DIV,RR,END_BAL,RECHARGE_TIMES,WITHDRAW_AMOUNT
51,50,M,28,0,0,AOSBS,81,46842,11778,16344,18720,46599.5,1.00422,8.5,140,15900
62,25,M,5,0,0,MULTI,79,57502,12842,14510,30150,47666,0.838511,4.3,199,18872.5
73,52,M,8,0,0,TEL,82,139353,50025,50213,39115,105270,0.762263,5.5,206,45100
87,59,M,33,0,0,EWIN,83,107062,39510,29332,38220,63309.9,0.594888,1620.5,42,1000
94,52,M,23,0,0,EWIN,83,65480,19180,22570,23730,36943,0.573351,488.2,198,22000
122,58,F,29,0,0,TEL,73,15020,4380,4730,5910,5024.8,0.334541,388,0,0
137,65,M,34,0,0,TEL,74,25240,7950,9980,7310,26653.3,1.06219,402.1,49,10300
288,64,M,24,0,0,ESC,81,44433,14315,14993,15125,32479.7,0.737092,3.9,51,3800
306,87,M,30,0,0,ESC,81,67520,18700,24960,23860,47040,0.700978,998.2,93,25000
342,80,M,13,0,0,ESC,83,302578,104488,86120,111970,219785,0.731089,1784.8,134,25800
381,34,M,13,0,0,EWIN,83,23310,11120,7910,4280,5388.96,0.239767,402.6,60,19000
402,61,M,19,0,0,TEL,66,34245,10790,11775,11680,14614,0.441742,19.5,0,0
404,53,F,7,0,0,TEL,71,31548,10198,9215,12135,22872.7,0.729451,229.2,65,8520
416,42,M,9,0,0,EWIN,55,29400,11690,11170,6540,24990,0.854082,319.8,150,136927
419,68,M,21,0,0,TEL,81,36130,9680,11610,14840,41538.1,1.15439,441,5,10000
429,76,M,32,0,0,TEL,77,267605,71070,138385,58150,230842,0.870692,2784.2,64,60000
450,60,M,23,0,0,AOSBS,68,19558,4778,8569,6211,11947.5,0.622475,993.9,212,14300
464,34,M,12,0,0,IOSBS,36,12500,4290,5830,2380,9072.5,0.7338,28.4,40,6000
481,52,F,6,0,0,EWIN,80,103544,35064,26940,41540,85867,0.831888,9385.5,33,1400
501,61,M,34,0,0,IOSBS,76,53584,12900,22094,18590,47022.9,0.884087,2153.4,22,4000
541,47,M,23,0,0,MULTI,38,69030,11221,40675,17134,43750.1,0.635337,8,72,29500
577,63,M,29,0,0,TEL,82,30090,9980,10710,9400,27986,0.933401,223.2,27,8000
621,65,M,32,0,0,TEL,82,51690,16680,18290,16720,34986.9,0.678601,588.9,70,11500
683,67,M,9,0,0,ESC,80,21788,7320,8118,6350,12329,0.5755,49,76,7500
690,44,M,17,0,0,OTHERS,55,55348,29578,24300,1470,37416.5,0.677829,8.2,151,38817
696,44,F,20,0,0,MULTI,81,63943,15508,19445,28990,396323,6.20042,0.5,280,405900
710,76,M,33,0,0,TEL,83,85510,27210,28520,29780,73857.4,0.880966,6373.8,49,11000
728,32,M,8,0,0,EWIN,82,51920,21310,19080,11530,42242.6,0.817269,662.1,43,1000
