CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
51,0.206,NA,NA,NA
62,0.21,NA,NA,NA
73,0.308,NA,NA,NA
87,0.176,NA,NA,NA
94,0.136,NA,NA,NA
122,0.052,NA,NA,NA
137,0.398,INV_SEG_32 <,INV_MONTH7 <,RR >
288,0.036,NA,NA,NA
306,0.222,NA,NA,NA
342,0.156,NA,NA,NA
381,0.472,INV_SEG_32 <,INV_SEG_21 <,DIV <
402,0.192,NA,NA,NA
404,0.08,NA,NA,NA
416,0.37,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH3 <
419,0.372,INV_STD_SQUARE >,INV_SEG_32 >,STD_INV >
429,0.446,INV_SEG_32 <,INV_SEG_21 >,INV_MONTH12 >
450,0.172,NA,NA,NA
464,0,NA,NA,NA
481,0.232,NA,NA,NA
501,0.188,NA,NA,NA
541,0.296,NA,NA,NA
577,0.134,NA,NA,NA
621,0.092,NA,NA,NA
683,0.098,NA,NA,NA
690,0.522,INV_SEG_32 <,INV_MONTH7 <,INV_SEG3 <
696,0.256,NA,NA,NA
710,0.138,NA,NA,NA
728,0.274,NA,NA,NA
762,0.174,NA,NA,NA
776,0.09,NA,NA,NA
813,0.246,NA,NA,NA
867,0.11,NA,NA,NA
885,0.18,NA,NA,NA
889,0.496,INV_SEG_32 <,INV_SEG3 <,STD_INV <
896,0.34,NA,NA,NA
919,0.164,NA,NA,NA
923,0.166,NA,NA,NA
960,0.42,INV_MONTH7 <,INV_MONTH6 <,INV_SEG_32 >
1009,0.212,NA,NA,NA
1012,0.23,NA,NA,NA
1090,0.202,NA,NA,NA
1097,0.242,NA,NA,NA
1127,0.23,NA,NA,NA
1141,0.446,INV_SEG_32 <,INV_MONTH7 <,INV_SEG3 <
1149,0.236,NA,NA,NA
1199,0.124,NA,NA,NA
1293,0.188,NA,NA,NA
1346,0.028,NA,NA,NA
1358,0.004,NA,NA,NA
1363,0.12,NA,NA,NA
1386,0.188,NA,NA,NA
1389,0.016,NA,NA,NA
1400,0.174,NA,NA,NA
1422,0.044,NA,NA,NA
1472,0.27,NA,NA,NA
1487,0.162,NA,NA,NA
1490,0.596,INV_SEG_32 <,INV_MONTH7 >,INV_SEG_21 <
1539,0,NA,NA,NA
1546,0.2,NA,NA,NA
1548,0.288,NA,NA,NA
1605,0.302,NA,NA,NA
1639,0.278,NA,NA,NA
1644,0.182,NA,NA,NA
1737,0.366,INV_MONTH7 <,STD_INV >,INV_MONTH3 <
1744,0.192,NA,NA,NA
